game	yearpublished	minplayers	maxplayers	minage	minplaytime	maxplaytime	comments	description
Silent Death	1990	2	8	10	120	120	389	Silent Death is a space combat game, normally played with miniatures. Most ships are fighter and heavy-fighters in size, but there are expansions to include gunboats and small capital ships. Each ship has a control sheet to make all bookkeeping (mostly damage and ammo when necessary) easier. The game is normally played in 10 turns, each player alternate moving all ships before making attacks.&#10;&#10;From designer's notes:&#10;Silent Death is an attempt to produce a fun and fast-moving game that is simple to learn. The mix of design trade-offs (detail for playability) in the Standard Game feels about right, but since you can't satisfy all of the people all of the time, we piled in a bunch of optional rules so players can find their own optimum mix; either simpler or more complex.&#10;&#10;Re-implemented in:&#10;&#10;    Silent Death: The Next Millennium Deluxe Edition&#10;&#10;&#10;&#10;&#10;
Skull	2011	3	6	14	45	45	6083	Edited description from Bruno Faidutti's write-up of the game in his Ideal Game Library:&#10;&#10;Skull &amp; Roses is the quintessence of bluffing, a game in which everything is played in the players' heads. Each player plays a face-down card, then each player in turn adds one more card &ndash; until someone feels safe enough to state that he can turn a number of cards face up and get only roses. Other players can then overbid him, saying they can turn even more cards face up. The highest bidder must then turn that number of cards face up, starting with his own. If he shows only roses, he wins; if he reveals a skull, he loses, placing one of his cards out of play. Two successful challenges wins the game. Skull &amp; Roses is not a game of luck; it's a game of poker face and meeting eyes.&#10;&#10;Skull &amp; Roses Red features the same gameplay as Skull &amp; Roses, with the only change being alternate rules that allow each player to control two biker gangs. Both Skull &amp; Roses Red and Skull are playable on their own, with each game containing six different biker gangs. Each Skull or Skull &amp; Roses set can be combined with another to allow for games with more than six players.&#10;&#10;
Small World	2009	2	5	8	40	80	44714	In Small World, players vie for conquest and control of a world that is simply too small to accommodate them all.&#10;&#10;Designed by Philippe Keyaerts as a fantasy follow-up to his award-winning Vinci, Small World is inhabited by a zany cast of characters such as dwarves, wizards, amazons, giants, orcs, and even humans, who use their troops to occupy territory and conquer adjacent lands in order to push the other races off the face of the earth.&#10;&#10;Picking the right combination from the 14 different fantasy races and 20 unique special powers, players rush to expand their empires - often at the expense of weaker neighbors. Yet they must also know when to push their own over-extended civilization into decline and ride a new one to victory!&#10;&#10;On each turn, you either use the multiple tiles of your chosen race (type of creatures) to occupy adjacent (normally) territories - possibly defeating weaker enemy races along the way, or you give up on your race letting it go &quot;into decline&quot;. A race in decline is designated by flipping the tiles over to their black-and-white side.&#10;&#10;At the end of your turn, you score one point (coin) for each territory your races occupy. You may have one active race and one race in decline on the board at the same time. Your occupation total can vary depend on the special abilities of your race and the territories they occupy. After the final round, the player with the most coins wins.&#10;&#10;Clarifications: available in a pinned forum post.&#10;&#10;
Space Alert	2008	1	5	12	30	30	12100	Space Alert is a cooperative team survival game. Players become crew members of a small spaceship scanning dangerous sectors of the galaxy. The missions last just 10 real-time minutes (hyperspace jump, sector scan, hyperspace jump back) and the only task the players have is to protect their ship.&#10;&#10;During play, the central computer will announce the presence of various threats on one the supplied 10 minute soundtracks that also acts as a game timer. The threats vary from space battleships and interceptors to different interstellar monsters and abominations, asteroids or even intruders and malfunctions on the spaceship. Players have to agree who will take care of which task and coordinate their actions (moving around the ship, firing weapons, distributing energy, using battlebots to deal with intruders, launching guided missiles, etc.) in real time to defend the ship. Only a well-working team can survive 10 minutes and make the jump back to safety.&#10;&#10;The game offers several difficulty levels, huge variability and a unique experience for one to five player teams. One mission lasts only about 30 minutes, including setup and evaluation.&#10;&#10;(Based on a description from Czech Games Edition)&#10;&#10;
Space Alert: The New Frontier	2010	1	5	13	30	30	889	Do you think your team of space pioneers is already experienced enough? Even the most dangerous of enemies don&rsquo;t scare you anymore? There&rsquo;s a new program of reconnaissance flights to extremely dangerous sectors. To survive you&rsquo;ll need to pass a special training that allows you to do more actions in the same time. But as you probably assumed by now, nothing is as easy as it seems.&#10;&#10;The expansion to the extraordinary cooperative game Space Alert brings even greater challenges for experienced teams. You don&rsquo;t have to worry though, this expansion is interesting even for teams that don&rsquo;t win against the most difficult of enemies from the basic game so often.&#10;&#10;
Space Cadets	2012	3	6	8	60	120	2780	It's your lifelong dream &ndash; to join the Star Patrol and be part of the crew of an interstellar Starship. You've worked hard, graduated from the academy, and received your first assignment as part of a team of young recruits, confident in your training and ready to be put to the test. Nothing can possibly go wrong as you are prepared for anything...&#10;&#10;You are the Space Cadets.&#10;&#10;Space Cadets is a fun and frantic cooperative game for 3-6 players who take on the roles of Bridge Officers of a Starship. Each officer must accomplish his specific task in order for the team to successfully complete the mission. You might be the...&#10;&#10;&#10;    Helmsman, plotting the ship's course through asteroid fields and nebulae.  &#10;    Engineer, using dominoes to get enough power to each system.  &#10;    Weapons Officer, completing puzzles to load the torpedoes and flicking a disc down a track to launch them.&#10;    Shield Officer, using tiles to form poker hands to get the strongest shields.  &#10;    Sensor Officer, using your sense of touch to scan and lock on enemy targets.  &#10;    Captain, setting the plan and making sure that everyone stays focused and does their job.  &#10;&#10;&#10;If your crew can work together to accomplish the mission goals, you just might make it home in one piece.&#10;&#10;
Space Infantry	2011	1	2	0	20	60	300	Official website&#10;&#10;http://zak965.it/spaceinfantry/index.html&#10;&#10;Summary&#10;&#10;Space Infantry (SI) is a solitaire game of squad-level combat in the future. In Space Infantry you control a team of 4/8 soldiers on a series of missions that can be played individually or as a campaign. &#10;Each mission takes about 20 minutes to be completed.&#10;&#10;SI is a modular game; the overall structure of SI will make it possible to easily add new features to the game (missions, enemies, equipment): this means that in the future additional components will add new options to the existing missions, increasing the lifetime of SI.&#10;&#10;SI started as a free game, and has now been published by Lock'n Load games - go to http://locknloadgame.com/ for more details&#10;&#10;Game Includes:&#10;&#10;&#10;     Rulebook&#10;     4 Mission Maps (double-sided)&#10;     12 Hive Sector Tiles&#10;     18 Unit Cards&#10;     4 Enemy Sheets/Time Tracks (double-sided)&#10;     2 Squad Rosters&#10;     2 Campaign Logs&#10;     158 Die-cut Counters&#10;&#10;&#10;
Specter Ops	2015	2	5	13	60	90	3697	A secret agent of A.R.K. has infiltrated a top secret Raxxon facility, attempting to complete three mission objectives before they escape &mdash; but they are hunted by genetically modified Raxxon Hunters. Players can choose which side they wish to join.&#10;&#10;Specter Ops is a sci-fi, stealth ops game of hidden movement that's similar to Scotland Yard. Players are trying to locate/capture a mysterious agent, who keeps track of their sneaking via a private map. The other players take control of unique characters who must use their wits, abilities and technology to help them hunt down this infiltrator. Items like flash grenades, scanners, and the like are at the disposal of this covert agent.&#10;&#10;
Speed Circuit	1971	2	6	12	120	120	1013	In Speed Circuit, each player takes control of a Formula 1 racecar zipping around the tracks.  Each person then distributes a number of points to Start Speed, Top Speed, Wear and other attributes, five points per lap.  Then, each player moves based on their speed, and can adjust their speed, choosing to forfeit a Wear Point, or roll the Chance Die, where a bad roll could cause you to move through, spin out, or even crash out of the race.  Whoever gets over the line first wins.&#10;&#10;Before the race begins the players prepare their cars by allocating points, so if you want faster acceleration or speed you have to sacrifice start speed or braking or tire wear.&#10;&#10;Each turn, the players write their planned speed for the next turn and then move their cars 1 space per 20 mph. Each curve on the track has a speed limit that cannot be exceeded without penalty. If you exceed curve speed, overaccelerate or overdecelerate your car, etc., you pay penalties in tire wear or possible damage to your car or elimination from the race.&#10;&#10;The original 3M Sports Games version used speedometer wheels to select speed, used a random card draw to determine the car characteristics and has no random elements.&#10;&#10;Expanded by:&#10;&#10;    Speed Circuit: British Grand Prix&#10;    Speed Circuit: Detroit Grand Prix&#10;    Speed Circuit: Grand Prix de Belgique&#10;    Speed Circuit: Grand Prix de France&#10;    Speed Circuit: South African Grand Prix&#10;    Speed Circuit Accessory Pack 1&#10;    Speed Circuit Accessory Pack 2&#10;    Speed Circuit Accessory Pack 3&#10;    Speed Circuit Accessory Pack 4&#10;    Speed Circuit Tournament Tracks&#10;    Speed Circuit Turnier Kurs&#10;&#10;&#10;&#10;&#10;
Spyfall	2014	3	8	12	15	15	11194	Spyfall is a party game unlike any other, one in which you get to be a spy and try to understand what's going on around you. It's really simple!&#10;&#10;Spyfall is played over several rounds, and at the start of each round all players receive cards showing the same location &mdash; a casino, a traveling circus, a pirate ship, or even a space station &mdash; except that one player receives a card that says &quot;Spy&quot; instead of the location. Players then start asking each other questions &mdash; &quot;Why are you dressed so strangely?&quot; or &quot;When was the last time we got a payday?&quot; or anything else you can come up with &mdash; trying to guess who among them is the spy. The spy doesn't know where he is, so he has to listen carefully. When it's his time to answer, he'd better create a good story!&#10;&#10;At any time during a round, one player may accuse another of being a spy. If all other players agree with the accusation, the round ends and the accused player has to reveal his identity. If the spy is uncovered, all other players score points.  However, the spy can himself end a round by announcing that he understands what the secret location is; if his guess is correct, only the spy scores points.&#10;&#10;After a few rounds of guessing, suspicion and bluffing, the game ends and whoever has scored the most points is victorious!&#10;&#10;
Star Fluxx	2011	2	6	8	10	10	3554	Fluxx gets the Science Fiction treatment. From the publisher: &quot;Just when you thought that Fluxx had gone as far as it could go - it blasts off for the Stars! Explore the vastness of space-themed humor with your valiant Captain, Engineer, and, of course, your Expendable Crewman. Go check out that Small Moon &ndash; or is it really a Space Station? You may be swayed by Unseen Forces, held hostage by Evil Computers, or find your ship infested with Cute Fuzzy Aliens.&quot;&#10;&#10;Like its brethren, Star Fluxx is the game of ever changing rules. It starts out as Draw 1, Play 1, but even that can change. When a Goal card is played, you can win by meeting the Goal, usually by having the correct Keeper cards in front of you. Action and Surprise cards help you to meet the Goal, or stop your opponent. Creeper cards usually prevent you from winning, but are sometimes necessary to meet the Goal.&#10;&#10;
Star Trek: Five-Year Mission	2015	3	7	10	30	45	810	Star Trek: Five-Year Mission is a cooperative dice placement game for 3-7 players who take the roles of crew members of either the USS Enterprise (from the original Star Trek series) or the USS Enterprise-D (from Star Trek: The Next Generation). Each crew member has a different ability and the crew&rsquo;s abilities differ for each crew.&#10;&#10;In these roles, players try to cooperatively solve a series of blue (easy), yellow (medium) and red (difficult) alerts to score points, attempting one of 6 different difficulty levels to win before failing five such alerts, or the Enterprise being destroyed. Players must deal with injuries which lock dice out of play, ship damage that can force players to attempt harder alerts, urgent events that must be completed in 3 minutes, the prime directive, as well as yellow and red alerts that force additional alerts cards to come into play pushing you closer to failing.&#10;&#10;
Starfarers of Catan	1999	3	4	12	120	120	4441	The foray into space, sometime near the year 2700 A.D. Compete for the prestigious post of Ambassador to the Galactic Council. To attain this lofty position, players must leave Terra and the known planets to explore and colonize the galaxy, while working to establish trade with alien cultures, encounter aliens, and defeat pirates. Glory and victory go to the brave and astute explorer upon whom luck smiles.&#10;&#10;The known worlds lie at one end of the game board, where each of the 3 or 4 players begins from known solar systems, each with 3 planets producing raw materials needed for the travels into deep space.&#10;&#10;Each player begins with 2 Colonies and a Space Port (all components are made from plastic). The Space Port makes starships to transport your new colonies and trade posts to distant lands. Throughout the game, all the colonies and spaceports enable the production of resources when the dice match the numbers of adjacent planets. Resources are traded for colony ships, trade ships, and fleet upgrades of freight rings, booster rockets, and cannon. Beware as you explore&mdash;some planets are covered in ice, and some conceal dangerous pirates.&#10;&#10;Belongs to the Catan Series.&#10;&#10;
Starfarers of Catan: 5-6 Player Expansion	2001	5	6	12	90	120	844	This expansion contains everything you need to include two additional players in Starfarers of Catan, the exciting, fast moving, science fiction game.  Here you'll find 2 mother ships, 2 sets of playing pieces, additional cards, 2 reusable gameboard overlays, and a new alien race ripe for encounter.&#10;&#10;Now you can play one of five or six Starfarers commissioned to explore the galaxy, build new colonies, and expand commercial ties with the various races of the Galactic Council.  Accept the challenge!  Careful diplomacy, clever trade, a firm stance against pirates, and the bold colonization of distant planetary systems will win you the support of humanity and the other races of the galaxy and make you the Council's Galactic Ambassador!&#10;&#10;Expands:&#10;&#10;     Starfarers of Catan&#10;&#10;&#10;&#10;&#10;Belongs to the Catan Series.&#10;&#10;
Stone Age	2008	2	4	10	60	90	31594	The &quot;Stone Age&quot; times were hard indeed. In their roles as hunters, collectors, farmers, and tool makers, our ancestors worked with their legs and backs straining against wooden plows in the stony earth. Of course, progress did not stop with the wooden plow. People always searched for better tools and more productive plants to make their work more effective.&#10;&#10;In Stone Age, the players live in this time, just as our ancestors did. They collect wood, break stone and wash their gold from the river. They trade freely, expand their village and so achieve new levels of civilization. With a balance of luck and planning, the players compete for food in this pre-historic time.&#10;&#10;Players use up to ten tribe members each in three phases. In the first phase, players place their men in regions of the board that they think will benefit them, including the hunt, the trading center, or the quarry. In the second phase, the starting player activates each of his staffed areas in whatever sequence he chooses, followed in turn by the other players. In the third phase, players must have enough food available to feed their populations, or they face losing resources or points.&#10;&#10;Rules: http://www.zmangames.com/uploads/4/7/1/7/47170931/en-stone_age-rules-2013.pdf&#10;&#10;
T.I.M.E Stories	2015	2	4	12	90	240	11576	Description from the publisher:&#10;&#10;The T.I.M.E Agency protects humanity by preventing temporal faults and paradoxes from threatening the fabric of our universe. As temporal agents, you and your team will be sent into the bodies of beings from different worlds or realities to successfully complete the missions given to you. Failure is impossible, as you will be able to go back in time as many times as required.&#10;&#10;T.I.M.E Stories is a narrative game, a game of &quot;decksploration&quot;. Each player is free to give their character as deep a &quot;role&quot; as they want, in order to live through a story, as much in the game as around the table. But it's also a board game with rules which allow for reflection and optimization.&#10;&#10;At the beginning of the game, the players are at their home base and receive their mission briefing. The object is then to complete it in as few attempts as possible. The actions and movements of the players will use Temporal Units (TU), the quantity of which depend on the scenario and the amount of players. Each attempt is called a &quot;run&quot;; one run equals the use of all of the Temporal Units at the players' disposal. When the TU reach zero, the agents are recalled to the agency, and restart the scenario from the beginning, armed with their experience. The object of the game is to make the perfect run, while solving all of the puzzles and overcoming all of a scenario&rsquo;s obstacles.&#10;&#10;The base box contains the entirety of the T.I.M.E Stories system and allows players to play all of the scenarios, the first of which &mdash; Asylum &mdash; is included. During a scenario, which consists of a deck of 120+ cards, each player explores cards, presented most often in the form of a panorama. Access to some cards require the possession of the proper item or items, while others present surprises, enemies, riddles, clues, and other dangers.&#10;&#10;You usually take possession of local hosts to navigate in a given environment, but who knows what you'll have to do to succeed? Roam a med-fan city, looking for the dungeon where the Syaan king is hiding? Survive in the Antarctic while enormous creatures lurk beneath the surface of the ice? Solve a puzzle in an early 20th century asylum? That is all possible, and you might even have to jump from one host to another, or play against your fellow agents from time to time...&#10;&#10;In the box, an insert allows players to &quot;save&quot; the game at any point, to play over multiple sessions, just like in a video game. This way, it's possible to pause your ongoing game by preserving the state of the receptacles, the remaining TU, the discovered clues, etc.&#10;&#10;T.I.M.E Stories is a decksploring game in which each deck makes anything possible!&#10;&#10;Official FAQ&#10;&#10;
Terraforming Mars	2016	1	5	12	90	120	12424	In the 2400s, mankind begins to terraform the planet Mars. Giant corporations, sponsored by the World Government on Earth, initiate huge projects to raise the temperature, the oxygen level, and the ocean coverage until the environment is habitable. In Terraforming Mars, you play one of those corporations and work together in the terraforming process, but compete for getting victory points that are awarded not only for your contribution to the terraforming, but also for advancing human infrastructure throughout the solar system, and doing other commendable things.&#10;&#10;The players acquire unique project cards (from over two hundred different ones) by buying them to their hand. The projects (cards) can represent anything from introducing plant life or animals, hurling asteroids at the surface, building cities, to mining the moons of Jupiter and establishing greenhouse gas industries to heat up the atmosphere. The cards can give you immediate bonuses, as well as increasing your production of different resources. Many cards also have requirements and they become playable when the temperature, oxygen, or ocean coverage increases enough. Buying cards is costly, so there is a balance between buying cards (3 megacredits per card) and actually playing them (which can cost anything between 0 to 41 megacredits, depending on the project). Standard Projects are always available to complement your cards.&#10;&#10;Your basic income, as well as your basic score, is based on your Terraform Rating (starting at 20), which increases every time you raise one of the three global parameters. However, your income is complemented with your production, and you also get VPs from many other sources.&#10;&#10;Each player keeps track of their production and resources on their player boards, and the game uses six types of resources: MegaCredits, Steel, Titanium, Plants, Energy, and Heat. On the game board, you compete for the best places for your city tiles, ocean tiles, and greenery tiles. You also compete for different Milestones and Awards worth many VPs. Each round is called a generation (guess why) and consists of the following phases:&#10;&#10;1) Player order shifts clockwise.&#10;2) Research phase: All players buy cards from four privately drawn.&#10;3) Action phase: Players take turns doing 1-2 actions from these options: Playing a card, claiming a Milestone, funding an Award, using a Standard project, converting plant into greenery tiles (and raising oxygen), converting heat into a temperature raise, and using the action of a card in play. The turn continues around the table (sometimes several laps) until all players have passed.&#10;4) Production phase: Players get resources according to their terraform rating and production parameters.&#10;&#10;When the three global parameters (temperature, oxygen, ocean) have all reached their goal, the terraforming is complete, and the game ends after that generation. Count your Terraform Rating and other VPs to determine the winning corporation!&#10;&#10;
Through the Ages: A Story of Civilization	2006	2	4	12	240	240	15631	Through the Ages is a civilization building game. Each player attempts to build the best civilization through careful resource management, discovering new technologies, electing the right leaders, building wonders and maintaining a strong military. Weakness in any area can be exploited by your opponents. The game takes place throughout the ages beginning in the age of antiquity and ending in the modern age.&#10;&#10;One of the primary mechanisms in TTA is card drafting. Technologies, wonders, and leaders come into play and become easier to draft the longer they are in play. In order to use a technology you will need enough science to discover it, enough food to create a population to man it and enough resources (ore) to build the building to use it. While balancing the resources needed to advance your technology you also need to build a military. Military is built in the same way as civilian buildings. Players that have a weak military will be preyed upon by other players. There is no map in the game so you cannot lose territory, but players with higher military will steal resources, science, kill leaders, take population or culture. It is very difficult to win with a large military, but it is very easy to lose because of a weak one.&#10;&#10;Victory is achieved by the player whose nation has the most culture at the end of the modern age.&#10;&#10;
Thunderstone	2009	1	5	12	60	60	9107	For ages the vile Doom Knights have sought to gather the remaining Thunderstones to fulfill a prophecy of corruption over the lands. Now the first Thunderstone has been discovered in the Dungeons of Grimhold and the Doom Knights have sent their minions to claim the relic. The Villagers of Barrowsdale gather brave souls to face the dungeon and keep the Thunderstone out of the hands of the Doom Knights.&#10;&#10;Thunderstone is a fantasy deck-building game much in the style of Dominion. Before the game starts a selection of Village and Hero cards will be randomnly chosen that players may add to their specific decks. Like Dominion, every player starts with a basic deck of weaker cards that they can use to purchase other more powerful cards. In Thunderstone these cards may be different Heroes such as mages, archers, thieves, or warriors or they may be supplies the heroes need like weapons, rations, or light to reach further into the dungeon.&#10;&#10;A dungeon deck is also created by combining several different groups of monsters. Certain groups of monsters may be more or less susceptible to different Hero types, so players will have to take this into account when they choose what to buy.&#10;&#10;Rather than buying puny Victory Points, players will use their deck to defeat monsters in the dungeon. From the monster deck a row of cards is laid out. Players may on their turn choose to attack a monster in the deck rather than visit town and buy cards. If they do this they play cards from their hand and resolve their abilities in order to boost strength and have enough light to reach a specific monster. Some monsters also have special abilities which may hinder the player. If they have enough strength they defeat the monster and place that card in their deck. This card is worth victory points and often can be used as money to purchase other cards. In addition to this, players are awarded experience points for defeating monsters which can be used to upgrade their heroes into more powerful versions. The game is played until the Thunderstone is revealed from the dungeon and a player is able to claim it. The player with the most victory points in their deck is the winner.&#10;&#10;The basic Thunderstone framework was updated in the implementation of Thunderstone: Advance.&#10;&#10;Integrates with&#10;&#10;&#10;    Thunderstone Advance: Towers of Ruin&#10;    Thunderstone: Dragonspire&#10;    Thunderstone: Starter Set&#10;&#10;&#10;
Time Agent	1992	2	6	12	240	240	237	In Time Agent, each player plays a different race who are going back through time and re-writing history to ensure that their race comes out on top. Or rather, that their race was always on top. Anyway, each race is different, but races have some natural alliances and enemies.&#10;&#10;
Timeline	2012	2	8	8	15	15	982	Timeline is a card game played using 220 cards. Each card depicts a historical event, invention or discovery on both sides, with the year in which that event occurred, invention or discovery was made on only one side. Players take turns placing a card from their hand in a row on the table. After placing the card, the player reveals the date on it. If the card was placed correctly with the date in chronological order with all other cards on the table, the card stays in place; otherwise the card is removed from play and the player takes another card from the deck.&#10;&#10;The first player to get rid of all his cards by placing them correctly wins. If multiple players go out in the same round, then everyone else is eliminated from play and each of those players are dealt one more card for another round of play. If only one player has no cards after a bonus round, he wins; otherwise play continues until a single player goes out.&#10;&#10;This version of the Timeline game combines cards from the three already published French Timeline games. Cards are bigger so it's not compatible with previous releases.&#10;&#10;In addition to the card game the box also contains a CD with the computer version of the game, with even more events, discoveries and inventions.&#10;&#10;
Timeline: Inventions	2010	2	8	8	15	15	5329	Timeline: Inventions is a card game played using 109 cards. Each card depicts an invention on both sides, with the year in which that invention was created on only one side. Players take turns placing a card from their hand in a row on the table. After placing the card, the player reveals the date on it. If the card was placed correctly with the date in chronological order with all other cards on the table, the card stays in place; otherwise the card is removed from play and the player takes another card from the deck.&#10;&#10;The first player to get rid of all his cards by placing them correctly wins. If multiple players go out in the same round, then everyone else is eliminated from play and each of those players are dealt one more card for another round of play. If only one player has no cards after a bonus round, he wins; otherwise play continues until a single player goes out.&#10;&#10;Timeline: Inventions can be combined with any other title in the Timeline series.&#10;&#10;Integratable with:&#10;&#10;&#10;    Timeline: Discoveries&#10;    Timeline: Diversity&#10;    Timeline: Historical Events&#10;    Timeline: Music & Cinema&#10;    Timeline: American History&#10;    Timeline: Americana&#10;&#10;&#10;
Tiny Epic Galaxies	2015	1	5	14	30	60	6778	In Tiny Epic Galaxies each player controls a galactic empire, aiming to expand their influence by acquiring highly contested planets and increasing their cosmic armada. The game revolves around an innovative dice-rolling combo mechanic. The number of dice you roll is determined by the strength of your galaxy. Each die is engraved with symbols representing the various actions you can take, such as moving a spaceship, increasing your culture or energy resources, or advancing your political or economic influence over newly discovered planets.&#10;&#10;Through careful planning, you must make the most out of your turn, taking the available actions in whichever order you consider most beneficial. But be careful, as each of your opponents can choose to follow each action you take by expending valuable resources. This means that it can always be your turn, even when it is someone else&rsquo;s turn!&#10;&#10;Players will colonize new planets throughout the game, thereby earning victory points and accumulating special abilities which they can activate for their galactic empire. Careful spending of resources will ensure the fastest growth of your empire, while allowing you to receive the biggest possible pay&#226;&#128;&#144;off from the actions you take.&#10;&#10;Will your influence be enough to control the most powerful planets in the galaxy? Will you be able to meet your secret objective along the way? Will your empire stand victorious?&#10;&#10;
Triassic Terror	2013	2	6	14	90	120	617	Starting with just one herd in the swamp in Triassic Terror, players must establish new herds and grow them into larger herds, which will then migrate across the four pre-historic landscapes present, competing for the best habitats. This primaeval world is, however, full of danger. Players' dinosaurs will fall prey to the mighty T-Rex, marauding Velociraptors, and swooping Pterodactyls. Erupting volcanoes will devastate some areas and fill the skies with ash, making the affected area almost unlivable. The player who best avoids these terrors and maintains the largest herds across all four environments will win the game.&#10;&#10;
Troyes	2010	1	4	12	90	90	11760	In Troyes, recreate four centuries of history of this famous city of the Champagne region of France.  Each player manages their segment of the population (represented by a horde of dice) and their hand of cards, which represent the three primary domains of the city:  religious, military, and civil.  Players can also offer cash to their opponents' populace in order to get a little moonlighting out of them&mdash;anything for more fame!&#10;&#10;Make your underlings:&#10;&#10;     work on the cathedral&#10;     combat misfortune&#10;     bustle about the city&#10;     and other such tasks that are below your family's stature&#10;&#10;&#10;&#10;&#10;Online Play&#10;&#10;&#10;     Board Game Arena (real-time or turn based)&#10;&#10;&#10;
Tsuro	2004	2	8	8	15	15	15830	From the publisher:&#10;&#10;A beautiful and beautifully simple game of laying a tile before your own token to continue its path on each turn.  The goal is to keep your token on the board longer than anyone else's, but as the board fills up this becomes harder because there are fewer empty spaces left... and another player's tile may also extend your own path in a direction you'd rather not go.  Easy to introduce to new players, Tsuro lasts a mere 15 minutes and actually does work for any number from 2 to 8.&#10;&#10;Theme:&#10;&#10;Tsuro has an Asian spiritual theme - the lines representing the &quot;many roads that lead to divine wisdom&quot;, and the game as a whole representing &quot;the classic quest for enlightenment&quot;.&#10;&#10;This theme is very light and the game essentially plays as an abstract.&#10;&#10;Gameplay:&#10;&#10;The game consists of tiles with twisting lines on them, a 6x6 grid on which to lay these tiles and a token for each player. Each player has a hand of tiles. On your turn you do two things: place a tile from your hand onto the board next to your token and move your token as far as it can go along the line it is currently on, until it is stopped by an empty space with no tile in (yet), the edge of the board or colliding with another player's token. If your token reaches the edge of the board or collides with another player's token, you are out of the game. The aim of the game is to be the last player left with a token on the board. Strategy therefore consists of trying to drive your opponents either into each other or off the board whilst extending your own route in directions that will make it difficult for your opponents to do the same.&#10;&#10;Other notes:&#10;&#10;Tsuro was originally patented by McMurchie in 1979 under the name Squiggle Game, but was apparently not published at that time.  Somewhat similar to Metro and Spaghetti Junction.&#10;&#10;
Vast: The Crystal Caverns	2016	1	5	10	75	75	1804	The dragon has been asleep for many long years. In that time, the cave under which it slumbered has changed greatly&hellip;Goblins and strange monsters have filled its gloomy depths and there are whispers that the cave itself has begun thinking, shifting, and growing evermore dangerous.&#10;&#10;Still, stories of peril rarely overshadow the rumors of riches. And riches there may be&hellip; For where a dragon slumbers, there also lies a fiercely guarded treasure. Fortunately for the slumbering beast, malevolent crystals fill the cave&rsquo;s rooms with spectral light, hiding the entrance to the immeasurable treasure trove. Many have given their lives to the search and over the years the rumors have faded to legend.&#10;&#10;But the most courageous adventurers will not be discouraged by bloodshed. On this day, a knight steps into the darkness, her gloved hand gripping the hilt of her sword. Her years of quests--all of the victories and defeats--have led to this one final adventure. Knowing the kingdom can never truly be at peace with the dragon beneath the cave, she has come to make a final stand. Little does she know that she will awake everything that slumbers in the shadows&hellip; and begin the final battle in the darkness.&#10;&#10;Enter the world of Vast: The Crystal Caverns!&#10;&#10;Vast takes you and your friends into the torch light of a classic cave-crawling adventure, built on the concept of total asymmetry. Gone are days of the merry band of travelers fighting off evil. In Vast, you will become part of a new legend... Any part you wish!&#10;&#10;Play as the classic, daring Knight, the chaotic Goblin horde, the colossal, greedy Dragon, or even the Cave itself &mdash; powerful, brooding, and intent on crushing the living things that dare to disturb its gloomy depths. Each role has its own powers, pieces, and paths to victory...and there can be only one winner.&#10;&#10;As the ultimate asymmetric board game, Vast: The Crystal Caverns provides a limitless adventure, playable again and again as you and your friends explore the four different roles in different combinations. Play one-on-one in a race to the death between the Knight and the Goblins, or add in the Dragon and the Cave for deeper and more epic experiences, different every time.&#10;&#10;
Wallenstein (second edition)	2012	2	5	12	90	120	1004	The 2012 rerelease of Wallenstein tweaks the 2002 title from designer Dirk Henn and publisher Queen Games, while including two new expansions.&#10;&#10;The setting and game play of the two games are mostly the same. In 1625, the Thirty Years' War is underway, and military leaders like Albrecht von Wallenstein and Gottfried Heinrich Graf zu Pappenheim are roaming the country, fighting for land, and trying to establish the best of everything for themselves. The game lasts two &quot;years,&quot; with players taking actions in the spring, summer, and fall, then possibly suffering from grain shortage and revolts in the winter before scoring points for the year. After two years, the player with the most points &ndash; with points being scored for land and buildings under one's control &ndash; wins.&#10;&#10;In each of the &quot;action&quot; seasons, ten action cards are shuffled, then laid out, with five face-up and the rest face-down. The five bonus tiles (which provide extra money, grain, or armies) are also laid out. Each player then secretly assigns one of his county cards (or a blank card) to each of the ten actions on his individual player board, in addition to bidding for player order and choice of bonus tile.&#10;&#10;After revealing that round's event card and determining player order, players carry out actions in the order determined earlier, revealing which county is taking the current action, then revealing the next face-down action, thus giving players some information about when actions will occur, but not all. Taxing a county or taking grain from it can increase the chance of a revolt during winter, but without money you can't deploy troops or build palaces or churches and without grain you increase the chance of revolt.&#10;&#10;Combat and revolts are handled via a dice tower in which players drop army units and peasants (colored wooden cubes) into the top of the tower and see which ones emerge in the bottom tray (representing the fighting forces for that combat) and which get stuck in the tower's baffles to possibly emerge in the future.&#10;&#10;Wallenstein includes two expansions: &quot;Emperor's Court,&quot; in which a player's army tokens that fall from the dice tower at the start of the game become courtiers who compete for favors (special actions) from the emperor; a player can convert armies to courtiers during the game, and whoever has the most courtiers in the court's entrance hall each turn gets first shot at the favors available. &quot;Landsknechte,&quot; which can be used with &quot;Emperor's Court&quot; or on its own, consists of a set of four cards for each player stacked in a particular order. If after determining turn order, a player controls counties in four different regions, he removes the top card from the stack, then takes one of the bonuses (such as money or armies in the tray) shown on the newly revealed card. This stack resets after winter ends.&#10;&#10;
